PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ship
2,1,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,"71,2833",C85,C,Titanic
4,1,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,"53,1",C123,S,Titanic
7,0,1.0,"McCarthy, Mr. Timothy J",male,54,0,0,17463,"51,8625",E46,S,Titanic
12,1,1.0,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,"26,55",C103,S,Titanic
22,1,2.0,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,Titanic
28,0,1.0,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,Titanic
32,1,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,9.0,1,0,PC 17569,"146,5208",B78,C,Titanic
53,1,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,"76,7292",D33,C,Titanic
55,0,1.0,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,"61,9792",B30,C,Titanic
63,0,1.0,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,"83,475",C83,S,Titanic
67,1,2.0,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,"10,5",F33,S,Titanic
76,0,3.0,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,"7,65",F G73,S,Titanic
89,1,1.0,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,Titanic
93,0,1.0,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,"61,175",E31,S,Titanic
97,0,1.0,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,"34,6542",A5,C,Titanic
98,1,1.0,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,"63,3583",D10 D12,C,Titanic
103,0,1.0,"White, Mr. Richard Frasar",male,21,0,1,35281,"77,2875",D26,S,Titanic
111,0,1.0,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,Titanic
119,0,1.0,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,"247,5208",B58 B60,C,Titanic
124,1,2.0,"Webber, Miss. Susan",female,"32,5",0,0,27267,13,E101,S,Titanic
125,0,1.0,"White, Mr. Percival Wayland",male,54,0,1,35281,"77,2875",D26,S,Titanic
137,1,1.0,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,"26,2833",D47,S,Titanic
138,0,1.0,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,"53,1",C123,S,Titanic
140,0,1.0,"Giglio, Mr. Victor",male,24,0,0,PC 17593,"79,2",B86,C,Titanic
149,0,2.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,"36,5",0,2,230080,26,F2,S,Titanic
152,1,1.0,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,"66,6",C2,S,Titanic
171,0,1.0,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,"33,5",B19,S,Titanic
175,0,1.0,"Smith, Mr. James Clinch",male,56,0,0,17764,"30,6958",A7,C,Titanic
178,0,1.0,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,"28,7125",C49,C,Titanic
184,1,2.0,"Becker, Master. Richard F",male,1,2,1,230136,39,F4,S,Titanic
194,1,2.0,"Navratil, Master. Michel M",male,3,1,1,230080,26,F2,S,Titanic
195,1,1.0,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,"27,7208",B4,C,Titanic
196,1,1.0,"Lurette, Miss. Elise",female,58,0,0,PC 17569,"146,5208",B80,C,Titanic
206,0,3.0,"Strom, Miss. Telma Matilda",female,2,0,1,347054,"10,4625",G6,S,Titanic
210,1,1.0,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,C,Titanic
216,1,1.0,"Newell, Miss. Madeleine",female,31,1,0,35273,"113,275",D36,C,Titanic
219,1,1.0,"Bazzani, Miss. Albina",female,32,0,0,11813,"76,2917",D15,C,Titanic
231,1,1.0,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,"83,475",C83,S,Titanic
246,0,1.0,"Minahan, Dr. William Edward",male,44,2,0,19928,-90,C78,Q,Titanic
249,1,1.0,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,"52,5542",D35,S,Titanic
252,0,3.0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,"10,4625",G6,S,Titanic
253,0,1.0,"Stead, Mr. William Thomas",male,62,0,0,113514,"26,55",C87,S,Titanic
258,1,1.0,"Cherry, Miss. Gladys",female,30,0,0,110152,"86,5",B77,S,Titanic
263,0,1.0,"Taussig, Mr. Emil",male,52,1,1,110413,"79,65",E67,S,Titanic
264,0,1.0,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S,Titanic
269,1,1.0,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,PC 17582,"153,4625",C125,S,Titanic
270,1,1.0,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,"135,6333",C99,S,Titanic
274,0,1.0,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,"29,7",C118,C,Titanic
276,1,1.0,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,"77,9583",D7,S,Titanic
292,1,1.0,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,"91,0792",B49,C,Titanic
293,0,2.0,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,"12,875",D,C,Titanic
298,0,1.0,"Allison, Miss. Helen Loraine",female,2,1,2,113781,"151,55",C22 C26,S,Titanic
300,1,1.0,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,"247,5208",B58 B60,C,Titanic
306,1,1.0,"Allison, Master. Hudson Trevor",male,"0,92",1,2,113781,"151,55",C22 C26,S,Titanic
308,1,1.0,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,PC 17758,"108,9",C65,C,Titanic
310,1,1.0,"Francatelli, Miss. Laura Mabel",female,30,0,0,PC 17485,"56,9292",E36,C,Titanic
311,1,1.0,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,"83,1583",C54,C,Titanic
312,1,1.0,"Ryerson, Miss. Emily Borie",female,18,2,2,PC 17608,"262,375",B57 B59 B63 B66,C,Titanic
